t,Treated_LST,Synthetic_LST,Gap_LST
2018-02-01,5.093067377082157,5.449424080028427,-0.35635670294627
2018-05-01,31.22462673625054,30.073860714969918,1.1507660212806208
2018-06-01,36.690511591072465,35.659847154408354,1.030664436664111
2018-07-01,38.33857780665297,38.798035157640676,-0.4594573509877051
2018-08-01,41.716827851700316,39.78549354142127,1.9313343102790483
2018-09-01,26.473834044748887,26.26467992495838,0.20915411979050802
2018-10-01,19.545637081807346,18.04489711496963,1.5007399668377168
2018-11-01,12.761809835037074,11.98712793308497,0.7746819019521034
2019-01-01,5.642210670689605,3.3052361359942326,2.336974534695372
2019-02-01,12.068882970893391,12.174216698434428,-0.10533372754103709
2019-04-01,23.983479072805704,25.032211255687272,-1.0487321828815688
2019-05-01,22.119815980557856,22.516563840413923,-0.39674785985606675
2019-07-01,41.50180287305477,41.374378270012436,0.1274246030423356
2019-08-01,31.058311181051884,33.71831903015569,-2.660007849103806
2019-09-01,25.437031126819697,25.360384036961396,0.0766470898583016
2019-10-01,16.96142293825238,17.425413395285506,-0.4639904570331268
2019-11-01,8.853235365417893,7.835333983906359,1.0179013815115336
2019-12-01,8.468469248025961,8.405020987353808,0.06344826067215337
2020-01-01,7.496639550609325,7.103013686802424,0.3936258638069017
2020-04-01,18.976255786529453,20.762507053313627,-1.7862512667841735
2020-06-01,35.578299984748895,36.190895115421625,-0.6125951306727302
2020-08-01,37.350876326746615,36.4812604879035,0.8696158388431172
2020-09-01,29.757515703659966,28.339762312414702,1.4177533912452631
2021-04-01,21.60248919032834,20.434342342639013,1.168146847689325
2021-07-01,31.153444429351598,30.306270914750066,0.8471735146015327
2021-11-01,3.500640990845119,4.570388804174767,-1.069747813329648
2022-01-01,6.164363913186005,5.682006852403318,0.4823570607826868
2022-02-01,8.759210264812694,10.27779829124745,-1.518588026434756
2022-03-01,15.342386439810642,16.79620212683321,-1.4538156870225691
2022-04-01,21.10577553028512,22.69520357870813,-1.589428048423013
2022-05-01,29.955681710253213,29.47568049427181,0.4800012159814031
2022-06-01,36.54650727047964,29.457903106188823,7.088604164290814
2022-07-01,41.67591703231168,39.39904572636334,2.2768713059483403
2022-08-01,36.31619323086171,36.07817076803672,0.2380224628249863
2022-11-01,10.516564703106235,9.944091501278553,0.5724732018276821
2022-12-01,2.4484845103997586,1.6085548958262579,0.8399296145735007
2023-01-01,4.952553369934151,3.7167416991725313,1.2358116707616196
2023-05-01,24.498680007742408,27.15656503018645,-2.6578850224440416
2023-06-01,34.912995724700515,32.72084338462655,2.1921523400739673
2023-09-01,29.00528980425692,28.187037382256406,0.8182524220005121
2023-11-01,7.722799302827313,6.866667898269162,0.856131404558151
2024-03-01,11.706197663745382,12.769756578974892,-1.0635589152295104
2024-05-01,26.736305029478817,27.08411609566415,-0.34781106618533286
2024-06-01,29.251209588832875,31.56611587300992,-2.314906284177045
2024-07-01,36.01066051793127,34.387727220054295,1.6229332978769762
2024-08-01,32.865187684434986,29.94203842431052,2.9231492601244646
2024-09-01,29.974867440671062,25.816114960437847,4.158752480233215
2024-10-01,15.24833917625157,14.725053165846777,0.5232860104047923
2024-11-01,11.525279438679144,11.439259754914321,0.08601968376482283
2025-01-01,5.983950051550045,6.201535213457686,-0.21758516190764077
2025-03-01,14.855291501755886,15.28163927117788,-0.42634776942199437
2025-04-01,26.248354073714506,25.853461469327726,0.3948926043867793
2025-05-01,28.277750855673133,28.58668718902954,-0.3089363333564066
2025-07-01,41.735040171111585,39.53347727090281,2.2015629002087778
2025-08-01,36.853169379396896,34.017672029235996,2.8354973501608995
2025-09-01,27.575493387941552,25.07227009618247,2.503223291759081
2025-10-01,22.317871172381658,21.16915206919567,1.1487191031859894
2025-11-01,8.117097777046137,8.157158804217618,-0.040061027171480745
