system:time_start,Sprawl_Zone_Core_mean,Sprawl_Zone_Core_std,Control_Zone_mean,Control_Zone_std
2015-01-19 10:58:34.006,4.470696689280048,0.6991188121163016,3.58210250297947,0.488788834544423
2015-01-20 10:50:56.343,2.310135448705897,1.0539165663013663,0.5869676030009304,0.6984971298552252
2015-01-27 10:57:12.518,,,,
2015-02-04 10:58:30.509,4.6113549714631565,0.736609097034314,4.356600520083071,0.1901583081631508
2015-02-05 10:51:05.484,,,,
2015-02-20 10:58:23.358,,,,
2015-02-21 10:51:10.878,,,,
2015-03-01 10:52:09.877,,,,
2015-03-08 10:58:15.380,,,,
2015-03-09 10:51:16.918,,,,
2015-03-17 10:51:59.162,,,,
2015-03-24 10:58:06.460,,,,
2015-03-25 10:51:26.599,,,,
2015-04-01 10:57:38.696,,,,
2015-04-02 10:51:46.871,8.938783108258933,1.8806454169904179,5.342469124034472,0.7401980050145791
2015-04-09 10:57:56.992,22.758427708210988,1.8643295355412763,21.605497374058235,0.715602726638805
2015-04-10 10:51:34.812,,,,
2015-04-17 10:57:48.005,,,,
2015-04-18 10:51:46.593,21.262759874899768,1.6284481213710191,20.331862364469647,0.8077094545282055
2015-04-25 10:57:53.757,,,,
2015-05-04 10:51:33.963,,,,
2015-05-11 10:57:37.818,19.067783726662007,1.6316928895780767,,
2015-05-12 10:51:48.892,26.30061484634707,3.075157832639778,22.127641076373536,1.161889944837511
2015-05-19 10:58:02.001,,,,
2015-05-27 10:57:38.685,28.72263558490659,2.952113633564265,26.41736393051371,1.1121825668343235
2015-05-28 10:51:52.384,22.809848661737657,0.9732071284131052,25.55601939142711,1.4405100116114722
2015-06-04 10:58:07.568,26.84058832694838,3.8541115028084305,24.794598774266717,1.008329704402939
2015-06-05 10:51:34.614,,,,
2015-06-12 10:57:50.340,,,,
2015-06-21 10:51:42.626,,,,
2015-06-29 10:52:02.114,,,,
2015-07-06 10:58:15.933,,,,
2015-07-07 10:51:52.104,,,,
2015-07-23 10:51:59.301,30.4861410228707,2.8045786743859646,28.373154681242074,1.9199660488445842
2015-07-30 10:58:11.483,,,,
2015-07-31 10:52:10.195,24.67413097802451,2.528589378126804,30.929835534977347,2.23470203973856
2015-08-07 10:58:23.505,,,,
2015-08-08 10:52:02.193,33.68675430207437,1.4013787773403596,34.26066193774254,1.4258490872144558
2015-08-15 10:58:17.270,26.126397056275042,1.70271358881095,19.12662693560617,1.5196441767116753
2015-08-16 10:52:14.444,30.02521901678905,2.857524831374044,,
2015-09-01 10:52:13.684,,,,
2015-09-08 10:58:27.859,,,,
2015-09-09 10:52:16.465,,,,
2015-09-17 10:52:20.229,,,,
2015-09-24 10:58:32.507,19.910515532107542,2.405738512821924,20.560894619708925,1.166369023986977
2015-09-25 10:52:23.474,22.54420164732938,2.131708873284818,,
2015-10-02 10:58:35.558,20.96256775976709,1.1330909909561275,20.795693795976035,0.8939390997075719
2015-10-03 10:52:20.714,,,,
2015-10-10 10:58:40.835,,,,
2015-10-11 10:52:24.466,,,,
2015-10-18 10:58:36.360,,,,
2015-10-26 10:58:57.676,,,,
2015-10-27 10:52:29.514,-6.10169216984841,3.441963865365298,-12.436691340468013,0.9634852829676674
2015-11-11 10:59:13.143,,,,
2015-11-12 10:52:29.589,,,,
2015-11-28 10:52:32.914,,,,
2016-01-06 10:58:38.666,,,,
2016-01-14 11:00:11.841,,,,
2016-01-15 10:52:28.756,3.850319236470608,0.7434651082560177,3.2130719308522386,0.5083020282310267
2016-01-23 10:54:07.538,,,,
2016-01-30 11:00:22.176,,,,
2016-02-07 10:58:35.302,8.572191073999038,0.7235213629191506,,
2016-02-08 10:54:14.974,,,,
2016-02-15 11:00:27.015,5.12710664729637,1.4809670143703815,4.730600527328596,0.7821305604957131
2016-02-16 10:52:18.848,7.083988665076119,0.9269798719358754,6.213425518776083,0.6482941407575319
2016-02-23 10:58:28.246,,,7.706022634333179,0.7263659732961298
2016-02-24 10:54:16.406,9.044390664215399,1.1575336508058098,7.691115810838075,0.7990895409275659
2016-03-03 10:52:17.148,,,,
2016-03-11 10:54:27.567,,,,
2016-03-27 10:54:32.889,,,,
2016-04-03 11:00:44.674,15.971729900000014,0.0,,
2016-04-04 10:52:02.305,,,,
2016-04-11 10:58:11.235,,,,
2016-04-12 10:54:38.268,18.94880102242236,2.4947870066408604,20.19699167085334,0.5971434954258866
2016-04-19 11:00:52.601,,,,
2016-04-20 10:51:56.496,19.298414407021717,1.8155249869356926,18.304401325421605,0.597597998252633
2016-04-27 10:58:07.481,16.67357912603616,0.9196118435471935,,
2016-04-28 10:54:45.229,21.880017766328784,3.6914125661276818,19.688583410231583,0.6697895199182766
2016-05-05 11:00:57.811,27.81485671353273,3.5500776755183043,24.4677555159418,0.6640026036722562
2016-05-06 10:51:59.651,22.554875105448623,2.6584406855675438,16.650728806784894,0.651428289148291
2016-05-13 10:58:06.511,23.944469851947844,1.9728322452320093,23.713872094640426,0.8043987108865271
2016-05-14 10:54:47.797,19.111347280576616,4.275658163261881,20.274994871650062,1.0273984569096164
2016-05-22 10:52:00.189,,,,
2016-05-29 10:58:13.488,,,,
2016-06-07 10:52:04.736,,,,
2016-06-15 10:54:56.859,,,26.113947087796372,0.9342611569740097
2016-06-23 10:52:10.059,,,,
2016-06-30 10:58:24.918,,,,
2016-07-08 11:01:07.941,,,,
2016-07-09 10:52:18.582,,,,
2016-07-16 10:58:32.069,25.413559342442774,0.2810454113394148,,
2016-07-17 10:54:57.933,,,,
2016-07-24 11:01:10.228,27.388614764347157,2.8093272069926427,,
2016-07-25 10:52:23.663,25.02041722173415,2.728022659660639,23.226648991278346,0.8733674230184173
2016-08-01 10:58:35.651,,,,
2016-08-09 11:01:11.890,19.276283726015187,1.2536122337154214,22.081765233927868,1.6366511034849995
2016-08-10 10:52:25.542,,,,
2016-08-17 10:58:39.526,30.304466093090713,2.199430684968636,30.4309408645548,0.9448193696247438
2016-08-18 10:55:01.540,27.65409622769612,2.3952889212769097,,
2016-08-25 11:01:14.395,,,,
2016-08-26 10:52:32.770,26.328780027138727,2.0346395018123267,29.97942007430645,1.0864546614613193
2016-09-03 10:55:05.520,,,,
2016-09-11 10:52:37.167,25.32093184873415,1.9867290134783557,23.56594196420671,1.0608946087871023
2016-09-18 10:58:48.649,,,,
2016-09-19 10:55:07.301,,,,
2016-09-27 10:52:37.555,,,,
2016-10-04 10:58:50.464,,,,
2016-10-05 10:55:09.207,19.12120769289985,1.3793404923213306,19.14712995549007,1.0347531255587243
2016-10-12 11:01:19.678,,,,
2016-10-13 10:52:42.989,15.59364695219146,0.5161317184123981,14.327478243363569,0.6105567788595222
2016-10-20 10:58:55.123,14.867803730650786,0.6486372047193338,,
2016-10-21 10:55:07.078,,,,
2016-10-28 11:01:15.685,18.12981271950676,1.3258964690473838,17.37961732053645,0.4404368327681664
2016-10-29 10:52:44.810,,,,
2016-11-05 10:58:54.954,,,,
2016-11-06 10:55:00.912,9.127827354375007,1.1646734350929135,9.393383526510563,0.6722553489856513
2016-11-13 11:01:07.880,9.211720739366733,0.8592412214939558,10.298185052784802,0.7210187165211249
2016-11-29 11:01:05.364,5.046574805449961,0.9434626810197879,4.069543114993783,0.7905188209942496
2016-11-30 10:52:43.734,2.439882605874456,1.060153488414865,0.5531362317903993,0.5015598940166324
2016-12-07 10:58:53.193,,,,
2017-01-17 10:52:32.594,4.81587199794961,0.7054472507606909,3.9147679889664704,0.5450622847785059
2017-01-24 10:58:40.761,3.3457986137646274,0.7602016940751082,2.9097423183868356,0.4531465921169787
2017-02-02 10:52:25.623,,,,
2017-02-17 11:00:33.040,,,,
2017-02-18 10:52:19.166,,,,
2017-03-05 11:00:41.258,,,,
2017-03-06 10:52:12.448,8.653467885024677,1.0275062377245263,,
2017-03-13 10:58:19.157,,,,
2017-03-21 11:00:46.848,14.777322923723343,2.1086586433676238,13.610804253161302,0.6401017011343044
2017-03-22 10:52:02.212,,,,
2017-03-30 10:54:38.222,,,,
2017-04-06 11:00:50.794,22.430272304607698,3.2163414336740797,20.651477586004102,1.0294536848101585
2017-04-07 10:51:55.462,22.921217352920937,2.1776628354946164,21.500847068504097,0.7753041466804931
2017-04-15 10:54:44.565,,,,
2017-04-22 11:00:58.348,18.869620925177365,2.2372679796586175,,
2017-04-23 10:51:45.759,22.41485376959949,1.7649539121709503,,
2017-04-30 10:57:51.771,,,,
2017-05-08 11:01:02.737,,,,
2017-05-16 10:58:01.239,,,,
2017-05-24 11:01:05.155,26.914519628850364,4.35486130173168,,
2017-05-25 10:51:56.294,33.9168608738386,3.5702669272344343,,
2017-06-01 10:58:10.915,32.781710055765025,4.014359731476673,31.114142845339593,0.0
2017-06-02 10:54:57.434,,,,
2017-06-09 11:01:10.179,,,26.608044809024996,1.7638886854916747
2017-06-10 10:52:04.203,32.51090224480132,3.39831396455052,32.69043553192204,1.1683770766992951
2017-06-17 10:58:17.604,36.73821392784644,3.881880496482659,37.29610753851029,1.6540985454788513
2017-06-18 10:55:01.270,33.718982887822754,1.4529723705416373,,
2017-06-25 11:01:13.153,,,,
2017-06-26 10:52:09.402,36.254360107857465,3.8362555442905686,37.52092862523119,2.338518510856486
2017-07-03 10:58:21.652,,,,
2017-07-04 10:55:03.137,,,,
2017-07-12 10:52:12.098,,,,
2017-07-20 10:55:03.215,,,,
2017-07-27 11:01:13.448,,,,
2017-07-28 10:52:19.923,,,,
2017-08-04 10:58:33.697,,,,
2017-08-05 10:55:01.420,27.9393927936928,3.1202337221796985,22.763499892677373,1.3753968053244316
2017-08-12 11:01:10.895,23.20869264867235,0.6557603058783572,,
2017-08-13 10:52:26.042,29.093218525407625,3.041899955833392,27.94487216141433,1.3286058120094264
2017-08-20 10:58:38.792,,,,
2017-08-28 11:01:11.425,24.602019746600128,3.5213752665148657,23.485452265922767,0.699512816908126
2017-08-29 10:52:29.660,29.218466358033634,2.4021299203039317,29.685069226745266,1.264443142539811
2017-09-06 10:55:00.191,,,,
2017-09-14 10:52:29.962,,,,
2017-09-22 10:54:58.506,21.505224833619643,2.4682435491650194,21.480764522466,1.5433151836861363
2017-09-29 11:01:10.190,,,,
2017-09-30 10:52:37.548,17.98460943532404,2.244843013020909,19.85565284817772,0.706334444379945
2017-10-08 10:55:00.587,,,,
2017-10-16 10:52:41.409,21.46980041146254,0.7958057759102595,21.216407687017245,0.5175360795016631
2017-10-24 10:55:02.159,,,,
2017-10-31 11:01:12.685,,,,
2017-11-01 10:52:41.575,,,,
2017-11-08 10:58:51.245,,,,
2017-11-09 10:55:00.636,,,,
2017-11-16 11:01:09.778,,,,
2017-11-17 10:52:37.854,8.519919324384874,0.7344011673846489,7.4136494519401825,0.675661311277858
2017-11-24 10:58:45.790,,,,
2017-11-25 10:54:55.895,6.5442660564257675,1.0020741414805237,6.036857429909345,0.6817436122779227
2018-01-12 10:54:24.170,,,,
2018-01-19 11:00:28.591,5.566514343798305,0.9728354016998066,4.992442408896167,0.5908576324833349
2018-01-28 10:54:08.962,,,,
2018-02-04 11:00:12.511,5.933038950034516,0.6033978480872088,5.963307036541105,0.6503939936323585
2018-02-05 10:52:15.283,3.7847781227157054,0.8065841523097315,,
2018-02-12 10:58:23.993,6.271941548398855,0.7251036596147771,5.406900684726046,0.5477222437577514
2018-02-13 10:53:55.685,,,,
2018-02-20 11:00:02.435,,,,
2018-02-21 10:52:09.707,,,,
2018-02-28 10:58:17.177,-0.7962740492862912,0.6867816484187886,,
2018-03-08 10:59:51.842,,,,
2018-03-09 10:52:01.310,,,,
2018-03-16 10:58:07.895,,,,
2018-04-17 10:57:52.052,17.176291611045507,1.6780865339270232,13.882659177243164,0.5988643737400031
2018-04-18 10:53:05.135,26.643453195367087,2.8274832337196822,25.656972744845994,0.43798849647952853
2018-04-25 10:59:08.434,20.024346581426265,3.0102142755105636,16.98455288878757,0.6391879703719259
2018-04-26 10:51:36.422,18.7860189671926,1.6226081894838922,,
2018-05-03 10:57:43.317,17.50318775685254,0.6512624213545115,15.442513985435394,
2018-05-04 10:52:47.450,26.46349340810554,4.269274685994233,23.888849232673948,0.8538188210024459
2018-05-11 10:58:50.926,,,,
2018-05-19 10:57:32.346,28.987892600980892,3.6914159400840427,25.815428161404128,0.7762870146838287
2018-05-20 10:52:32.203,27.975433261109593,3.812413070676011,25.737066664835886,1.1394618803348429
2018-05-27 10:58:36.411,,,,
2018-05-28 10:51:14.132,31.292000307054515,3.439353450926194,29.05736157768815,1.003403883031883
2018-06-13 10:51:15.883,29.86085270387762,1.5212274945953383,28.12960362654579,1.1725134856866937
2018-06-20 10:57:31.446,,,,
2018-06-21 10:51:59.087,29.001177098396216,3.352427567813594,28.851743955498556,1.2997483294717147
2018-06-28 10:58:01.665,34.08332318474887,4.082415952172274,32.75349165160961,2.0816075116358443
