t,ndvi_impact,ndvi_control,delta_ndvi
2018-01-01,0.6504694291086252,0.6747628610984365,-0.024293431989811376
2018-02-01,0.6636871923905785,0.6683244306016484,-0.004637238211069872
2018-04-01,0.6855653187833232,0.6514931547093495,0.03407216407397362
2018-05-01,0.7368166648025338,0.7751922224414094,-0.03837555763887557
2018-06-01,0.6522183083131977,0.7247340502059343,-0.07251574189273657
2018-07-01,0.5359331361040264,0.6239264762681277,-0.08799334016410132
2018-08-01,0.5057864125292035,0.6058257335368714,-0.10003932100766788
2018-09-01,0.6743950386174459,0.7215857701385723,-0.047190731521126406
2018-10-01,0.6754365493696013,0.7389397457727231,-0.06350319640312185
2018-11-01,0.6388574244413142,0.6324598873875376,0.0063975370537766585
2019-01-01,0.660516472513018,0.6428363282295853,0.017680144283432786
2019-02-01,0.575736985216357,0.5602882071762204,0.015448778040136557
2019-03-01,0.6207840382935983,0.5651287647519745,0.055655273541623806
2019-04-01,0.6712091345178844,0.5715148363846368,0.0996942981332476
2019-06-01,0.6699735219851557,0.760759073813443,-0.09078555182828729
2019-07-01,0.633633199166583,0.7257687093711692,-0.09213551020458621
2019-08-01,0.6193409913811218,0.6944296571325916,-0.07508866575146989
2019-09-01,0.6075760404800606,0.7293049854581362,-0.12172894497807552
2019-11-01,0.6815611969580249,0.6796542090472472,0.0019069879107777021
2019-12-01,0.5966702805969865,0.5960925789598872,0.0005777016370992483
2020-01-01,0.6302085303605409,0.6194120391454531,0.010796491215087856
2020-02-01,0.5836552404777747,0.5557957956252049,0.02785944485256986
2020-03-01,0.610901939824843,0.5544521118715597,0.05644982795328324
2020-04-01,0.6231666373814989,0.6306335394234999,-0.007466902042000956
2020-05-01,0.7284636083854188,0.739404006323495,-0.010940397938076218
2020-06-01,0.6756955267029132,0.7353400524645028,-0.05964452576158963
2020-07-01,0.6054261345160855,0.6821349228025946,-0.07670878828650907
2020-08-01,0.4675340820038168,0.6409260706135455,-0.17339198860972865
2020-09-01,0.5580597099296569,0.718399813594164,-0.16034010366450713
2020-11-01,0.6951486554221914,0.6968317768473491,-0.0016831214251576965
2020-12-01,0.688728823648308,0.6276752613006819,0.061053562347626156
2021-02-01,0.6422876412158756,0.5680706260643796,0.07421701515149592
2021-03-01,0.6188746316051059,0.5384377840661495,0.08043684753895641
2021-04-01,0.6513522100068291,0.5089595887639868,0.14239262124284224
2021-05-01,0.7310207611862722,0.7156999779099088,0.015320783276363437
2021-06-01,0.7156606404368772,0.7253746384364945,-0.009713997999617363
2021-07-01,0.6321225140252267,0.7493258249767296,-0.11720331095150294
2021-08-01,0.6005093569527546,0.71957752549229,-0.11906816853953539
2021-09-01,0.6722126617816251,0.7594670826872899,-0.08725442090566482
2021-10-01,0.7026547413671431,0.7939165629798176,-0.09126182161267449
2021-11-01,0.6507849233381333,0.650941133433384,-0.0001562100952506862
2021-12-01,0.6014670706703671,0.6613247854657727,-0.05985771479540558
2022-01-01,0.5718860082973808,0.6643461564375854,-0.09246014814020465
2022-02-01,0.5277291634050073,0.5728158206759387,-0.04508665727093142
2022-03-01,0.5190360930252845,0.5166775227081463,0.0023585703171382644
2022-04-01,0.6067269101835423,0.6554568120967681,-0.04872990191322579
2022-05-01,0.6243055899182104,0.7579206957559658,-0.13361510583775538
2022-06-01,0.6954020457482674,0.7517513493036497,-0.05634930355538237
2022-07-01,0.6527753635968015,0.7271736681670148,-0.07439830457021324
2022-08-01,0.5105836514513219,0.6563154315554656,-0.14573178010414367
2022-10-01,0.7544901742773596,0.7914750449332738,-0.03698487065591416
2022-11-01,0.7650949371916532,0.7868673143528302,-0.02177237716117697
2023-01-01,0.6599579071036217,0.6382926049485789,0.02166530215504281
2023-02-01,0.36935291697587297,0.3501359051803591,0.019217011795513883
2023-03-01,0.39628444549716746,0.41175301218633104,-0.015468566689163576
2023-05-01,0.750117854441807,0.7677479926316066,-0.017630138189799638
2023-06-01,0.6415100472612136,0.742432773729659,-0.10092272646844536
2023-07-01,0.6441816121958277,0.7239691931723787,-0.07978758097655103
2023-08-01,0.5666726951326092,0.7530297672210479,-0.18635707208843866
2023-09-01,0.6346799830093737,0.71433217585723,-0.0796521928478563
2023-10-01,0.736821121451224,0.798088654697234,-0.061267533246009975
2023-11-01,0.6472754671968034,0.6703356555966515,-0.023060188399848136
2024-01-01,0.661144907026794,0.5900811256374323,0.07106378138936165
2024-02-01,0.6796687910690921,0.6593090133623747,0.020359777706717375
2024-05-01,0.7779911087677365,0.7695014856021447,0.008489623165591764
2024-06-01,0.6473308220475165,0.736334543576761,-0.08900372152924452
2024-07-01,0.5957195473470348,0.6912941671760443,-0.0955746198290095
2024-08-01,0.5471817752700944,0.6994442015856989,-0.1522624263156045
2024-09-01,0.5757280843117464,0.6976515086456815,-0.1219234243339351
2024-10-01,0.7066662133155088,0.7664554210377044,-0.059789207722195536
2024-11-01,0.7314939904156819,0.6975070764148572,0.03398691400082465
2025-01-01,0.7045369244698155,0.6506514074165817,0.053885517053233856
2025-02-01,0.6485148332939698,0.6557625456457349,-0.007247712351765134
2025-03-01,0.5850852901636779,0.5486751002220169,0.03641018994166101
2025-04-01,0.6430950885122042,0.6580585562881726,-0.014963467775968353
2025-05-01,0.6718153561344118,0.7263246973839168,-0.05450934124950502
2025-06-01,0.5584624210026646,0.7342188671622373,-0.17575644615957264
2025-07-01,0.5028999721506794,0.6710157052296104,-0.16811573307893102
2025-08-01,0.5421481945055224,0.6664710747179169,-0.12432288021239446
2025-09-01,0.6662728242839899,0.729768957451858,-0.06349613316786806
2025-10-01,0.710634148780607,0.7465666274043115,-0.03593247862370441
2025-11-01,0.6551402768992589,0.6832846214758941,-0.028144344576635172
2025-12-01,0.635506781530726,0.6539314205932074,-0.018424639062481374
