system:time_start,Sprawl_ET_mean,Control_ET_mean
2015-01-01,2.257213930348259,2.340625
2015-01-09,3.4818407960199007,3.8050781250000005
2015-01-17,2.4465174129353233,2.55078125
2015-01-25,3.192537313432836,3.4609375
2015-02-02,3.2850746268656716,3.594921875
2015-02-10,4.400248756218906,4.259765625000001
2015-02-18,4.085820895522389,4.174609375
2015-02-26,4.758208955223881,4.776171875
2015-03-06,5.821144278606966,6.064453125
2015-03-14,7.883333333333335,8.220312500000002
2015-03-22,8.322636815920399,8.75234375
2015-03-30,10.015671641791045,10.023828125
2015-04-07,10.850000000000001,10.872265625
2015-04-15,10.271890547263682,10.801953125
2015-04-23,12.704975124378109,12.158593750000001
2015-05-01,15.020149253731343,14.100781250000002
2015-05-09,17.10497512437811,16.01875
2015-05-17,16.261194029850746,16.043750000000003
2015-05-25,15.402985074626868,15.656250000000002
2015-06-02,16.82761194029851,16.101953124999998
2015-06-10,18.56766169154229,18.219921875
2015-06-18,14.782835820895524,13.89453125
2015-06-26,15.724875621890549,16.0296875
2015-07-04,13.182338308457712,13.090234375000001
2015-07-12,16.757462686567166,17.332812500000003
2015-07-20,13.07313432835821,13.495312499999999
2015-07-28,11.596268656716418,11.869921875000001
2015-08-05,10.937810945273633,11.585156249999999
2015-08-13,13.732587064676617,14.212500000000004
2015-08-21,11.695522388059704,11.894140625
2015-08-29,12.088059701492536,12.36484375
2015-09-06,11.235074626865673,11.326171875
2015-09-14,10.364179104477612,10.451171875
2015-09-22,8.188308457711443,7.1546875
2015-09-30,7.147761194029851,6.54296875
2015-10-08,6.122139303482586,5.915625
2015-10-16,5.909701492537313,6.245312500000002
2015-10-24,4.816915422885573,4.7476562499999995
2015-11-01,3.5863184079601993,3.513671875
2015-11-09,4.983333333333333,4.823828125000001
2015-11-17,3.8124378109452737,3.6796875000000004
2015-11-25,3.75273631840796,3.3898437500000003
2015-12-03,4.2092039800995025,4.123828125000001
2015-12-11,2.747761194029851,2.223828125
2015-12-19,3.867661691542289,3.713671875
2015-12-27,2.7121890547263687,2.68984375
2016-01-01,2.422388059701493,2.6796875000000004
2016-01-09,2.67089552238806,2.9035156250000003
2016-01-17,3.1601990049751247,3.56953125
2016-01-25,3.530597014925373,3.9035156250000007
2016-02-02,4.0873134328358205,4.659375
2016-02-10,3.8062189054726367,4.2457031249999995
2016-02-18,5.428358208955223,5.8015625
2016-02-26,5.3982587064676615,5.69140625
2016-03-05,5.917910447761194,6.315625000000001
2016-03-13,7.411691542288557,7.911328125000001
2016-03-21,8.111442786069652,7.923828125
2016-03-29,10.485820895522389,10.861328125000002
2016-04-06,9.487064676616916,10.023828125
2016-04-14,10.106965174129353,10.275
2016-04-22,10.05995024875622,10.354296875
2016-04-30,13.376616915422888,12.684765625000002
2016-05-08,16.660199004975127,15.822265625000002
2016-05-16,17.35995024875622,16.98046875
2016-05-24,18.055721393034826,17.358984375000002
2016-06-01,22.889552238805972,21.944531250000004
2016-06-09,19.510199004975124,18.487109375000003
2016-06-17,23.519154228855726,22.990234375000004
2016-06-25,20.667661691542293,20.100390625
2016-07-03,20.77661691542289,20.380078125
2016-07-11,20.09825870646766,19.27734375
2016-07-19,17.399502487562188,18.012500000000003
2016-07-27,16.905721393034828,16.574218749999996
2016-08-04,14.77139303482587,14.143359375000001
2016-08-12,12.408457711442788,11.676562500000001
