system:time_start,Sprawl_Zone_Core,Control_Zone,Sprawl_North,Sprawl_South,Sprawl_East,Sprawl_West
"Sep 4, 2019",0.605,0.534,0.287,0.477,0.18,0.598
"Sep 14, 2019",0.56,0.522,0.263,0.458,0.13,0.577
"Sep 14, 2019",0.559,0.581,0.44,0.456,0.429,0.576
"Sep 19, 2019",0.524,0.49,0.309,0.387,0.183,0.538
"Sep 19, 2019",0.525,0.491,0.303,0.403,0.173,0.538
"Sep 21, 2019",0.512,0.491,0.306,0.378,0.17,0.53
"Sep 21, 2019",0.516,0.496,0.296,0.394,0.152,0.536
"Nov 10, 2019",0.796,0.804,0.445,0.578,0.256,0.779
"Nov 13, 2019",0.806,0.826,0.482,0.597,0.283,0.789
"Nov 18, 2019",0.778,0.783,0.306,0.553,0.228,0.778
"Nov 18, 2019",0.776,0.781,0.309,0.551,0.238,0.777
"Nov 30, 2019",0.804,0.806,0.388,0.575,0.16,0.773
"Dec 3, 2019",,,0.234,0.276,,
"Dec 8, 2019",0.771,0.752,0.348,0.551,0.131,0.724
"Dec 8, 2019",0.773,0.752,0.633,0.552,0.164,0.725
"Dec 23, 2019",0.761,0.759,0.424,0.556,0.216,0.697
"Dec 23, 2019",0.761,0.763,0.701,0.557,0.473,0.698
"Dec 25, 2019",0.767,0.776,0.345,0.502,0.094,0.702
"Dec 25, 2019",0.766,0.775,0.353,0.502,0.11,0.701
"Dec 30, 2019",0.706,0.735,0.37,0.446,0.206,0.644
"Dec 30, 2019",0.705,0.74,0.382,0.484,0.226,0.644
"Jan 9, 2020",0.725,0.734,0.436,0.515,0.204,0.668
"Jan 19, 2020",0.747,0.752,0.349,0.489,0.173,0.691
"Jan 19, 2020",0.773,0.791,0.317,0.532,0.066,0.724
"Jan 29, 2020",0.723,0.748,0.435,0.482,0.284,0.666
"Jan 29, 2020",0.756,0.797,0.745,0.55,0.793,0.705
"Feb 1, 2020",,0.437,0.386,0.23,,0.128
"Feb 6, 2020",,,,,,
"Feb 6, 2020",,,,,,
"Mar 12, 2020",0.819,0.735,0.441,0.586,0.256,0.757
"Mar 24, 2020",0.785,0.774,0.535,0.537,0.49,0.736
"Mar 24, 2020",0.787,0.775,0.771,0.539,0.812,0.738
"Mar 27, 2020",0.79,0.754,0.478,0.511,0.314,0.737
"Mar 27, 2020",0.794,0.755,0.482,0.517,0.311,0.738
"Apr 6, 2020",0.632,0.396,0.431,0.554,0.365,0.538
"Apr 6, 2020",0.631,0.395,0.556,0.552,0.362,0.537
"Apr 11, 2020",0.813,0.789,0.547,0.556,0.395,0.785
"Apr 11, 2020",0.8,0.776,0.537,0.522,0.393,0.772
"Apr 21, 2020",0.444,0.819,,0.359,0.402,
"Apr 21, 2020",0.814,0.818,0.791,0.568,0.797,0.796
"Apr 23, 2020",0.835,0.803,0.577,0.541,0.426,0.818
"Apr 23, 2020",0.832,0.799,0.574,0.539,0.426,0.814
"Apr 26, 2020",0.832,0.809,0.609,0.565,0.48,0.824
"May 6, 2020",0.851,0.835,0.596,0.553,0.431,0.846
"May 6, 2020",0.849,0.833,0.595,0.552,0.432,0.843
"May 18, 2020",0.8,0.779,0.548,0.512,0.364,0.822
"May 21, 2020",0.772,0.75,0.509,0.532,0.323,0.813
"May 21, 2020",0.771,0.749,0.511,0.5,0.331,0.812
"May 26, 2020",,,,,,
"May 28, 2020",0.685,0.676,0.438,0.442,0.275,0.747
