t,Treated_NDVI,Synthetic_NDVI,Gap_NDVI
2018-01-01,0.6151096524598625,0.5340334668510732,0.08107618560878926
2018-02-01,0.6155917367675825,0.6010336456479018,0.01455809111968065
2018-04-01,0.8463872717250351,0.6553474915111633,0.1910397802138718
2018-05-01,0.6673268002792224,0.6884394564995361,-0.021112656220313664
2018-06-01,0.6032102441320302,0.7137321146985187,-0.11052187056648854
2018-07-01,0.34627247122787486,0.5141923577697934,-0.16791988654191858
2018-08-01,0.3111060862265604,0.40899073530109825,-0.09788464907453787
2018-09-01,0.7302906399509589,0.6185504561831824,0.1117401837677765
2018-10-01,0.7367470862576484,0.6801721883701624,0.05657489788748604
2018-11-01,0.7583113312048623,0.6665612372445258,0.09175009396033651
2019-01-01,0.7773917088312717,0.7014647981135189,0.07592691071775282
2019-02-01,0.7107549608074831,0.6092989807749558,0.10145598003252732
2019-03-01,0.743714606757386,0.6453804164077876,0.09833419034959834
2019-07-01,0.5469204354825891,0.597925599281373,-0.05100516379878395
2019-08-01,0.6088297000063946,0.5363249613724905,0.07250473863390405
2019-09-01,0.5507445264077945,0.6087004664978398,-0.057955940090045344
2019-11-01,0.7931784597309259,0.6513105757924239,0.14186788393850203
2019-12-01,0.7480042880831578,0.6328165968701337,0.11518769121302408
2020-01-01,0.7411092954495492,0.6387578006112349,0.1023514948383143
2020-03-01,0.7915871816163145,0.6351936971566093,0.15639348445970513
2020-04-01,0.7735160015823067,0.6860400942371777,0.087475907345129
2020-05-01,0.7446526879996148,0.715756666799048,0.02889602120056678
2020-06-01,0.6499387450012689,0.593846201000224,0.05609254400104491
2020-08-01,0.38155734788349477,0.4814831602709196,-0.09992581238742482
2020-09-01,0.4396790858429684,0.6240943214840073,-0.18441523564103895
2020-11-01,0.8155101958795098,0.634151711242653,0.18135848463685678
2020-12-01,0.7663079675890089,0.5608900695939762,0.20541789799503263
2021-02-01,0.6977624498642025,0.5134908724933622,0.18427157737084032
2021-03-01,0.43298809961628437,0.5258980136662139,-0.09290991404992954
2021-04-01,0.5053315214366643,0.603567575267405,-0.09823605383074074
2021-05-01,0.376748666121558,0.7654596962563212,-0.38871103013476316
2021-06-01,0.40530095533512,0.7261666225415749,-0.32086566720645493
2021-07-01,0.3612352538383924,0.7080876893233649,-0.34685243548497247
2021-08-01,0.40108301745086566,0.5796974674667978,-0.17861445001593218
2021-09-01,0.3983277563125563,0.6930147989422726,-0.2946870426297163
2021-10-01,0.45115910871258447,0.7251715282021798,-0.2740124194895953
2021-11-01,0.4259375518505656,0.6056409189853582,-0.17970336713479262
2021-12-01,0.42722178455169446,0.5663953854491452,-0.1391736008974508
2022-01-01,0.38733421357121706,0.5256032703882544,-0.13826905681703733
2022-02-01,0.3474730711882459,0.5009874757665348,-0.1535144045782889
2022-03-01,0.3662250148894805,0.5217400151010652,-0.15551500021158465
2022-05-01,0.28476537113050376,0.7579784401158862,-0.47321306898538246
2022-06-01,0.24166188739882397,0.7367075485548042,-0.49504566115598025
2022-07-01,0.18932502433323936,0.629930922116512,-0.44060589778327264
2022-08-01,0.1463958294582803,0.4645452638395928,-0.3181494343813125
2022-10-01,0.3170517780862374,0.792639921112454,-0.47558814302621655
2023-01-01,0.3033096122981643,0.5862690597998861,-0.2829594475017218
2023-05-01,0.3047797535125075,0.8045676078750998,-0.4997878543625923
2023-06-01,0.2707322585902536,0.7748847269720051,-0.5041524683817514
2023-07-01,0.2037662673419904,0.7033318736486549,-0.49956560630666447
2023-09-01,0.2551037678387682,0.6175613768672723,-0.3624576090285041
2024-01-01,0.29819337802336326,0.5209051694957438,-0.22271179147238057
2024-02-01,0.2993300790493439,0.5357321873448201,-0.2364021082954762
2024-05-01,0.35293552245819754,0.7943933151749187,-0.4414577927167212
2024-06-01,0.3044331822207892,0.7683193297343627,-0.4638861475135735
2024-07-01,0.2961303993490171,0.6705213282285052,-0.3743909288794881
2024-08-01,0.2536790360139861,0.4922287031308276,-0.2385496671168415
2024-09-01,0.2541605811733832,0.6230987449043068,-0.36893816373092364
2024-11-01,0.37882861855034855,0.6234111035197589,-0.24458248496941037
2025-01-01,0.3687364479810137,0.5814480079892602,-0.21271156000824654
2025-03-01,0.3059426626905781,0.4934585561139468,-0.18751589342336866
2025-04-01,0.33153859315359946,0.6309952621602513,-0.2994566690066518
2025-05-01,0.31689756524366797,0.7028715130600116,-0.38597394781634364
2025-06-01,0.26204550166599216,0.7205699828526109,-0.4585244811866187
2025-07-01,0.20168598190686804,0.593411757840843,-0.39172577593397495
2025-08-01,0.21050312205411678,0.542901317719684,-0.33239819566556716
2025-09-01,0.2864950544566996,0.657040765109238,-0.37054571065253844
2025-10-01,0.3145388502649099,0.7172042271957557,-0.4026653769308458
2025-11-01,0.3692777932862887,0.6915921790109405,-0.3223143857246518
2025-12-01,0.3291883345264053,0.6047287724597545,-0.27554043793334926
