metric,scm_effect,rmspe_ratio,perm_p,perm_rank,n_perm,intime_effect_2019,n_months,n_fetch_errors,pre_start,post_end
NDVI,-0.352536894984514,2.5818006073347584,0.15,3,20,-0.010515090844331918,70,0,2018-01,2025-12
LST,0.42832313670729877,1.730159511820797,0.35,7,20,-0.4722219224120693,58,0,2018-02,2025-11
