t,lst_impact,lst_control,delta_lst
2018-02-12 10:58:23.993,5.655171440925356,4.915454485445138,0.7397169554802181
2018-05-19 10:57:32.346,25.70904422705954,24.658025455778336,1.0510187712812034
2018-06-29 10:51:26.077,32.966986996029576,31.16206874280257,1.8049182532270045
2018-07-06 10:57:40.545,30.317717983130983,29.926789203283853,0.3909287798471297
2018-07-15 10:51:33.888,37.42399347100399,35.578686145172,1.845307325831989
2018-08-07 10:57:56.151,36.760588569821294,34.698090907198974,2.06249766262232
2018-09-01 10:51:57.067,26.408115588404975,26.164844837543985,0.24327075086099015
2018-09-17 10:52:01.535,27.94057880004339,26.417504779184743,1.5230740208586475
2018-09-24 10:58:15.173,17.5805537172966,16.689727060445975,0.8908266568506242
2018-10-10 10:58:23.047,22.21746196603397,22.160481805645734,0.05698016038823539
2018-10-19 10:52:15.458,15.578170626486727,15.081962738226764,0.4962078882599634
2018-10-26 10:58:28.215,11.913596790208933,11.59684840086759,0.31674838934134364
2018-11-11 10:58:30.627,11.96378950551177,11.775497035536937,0.18829246997483295
2018-12-13 10:58:26.533,3.3418965123479087,3.6174028477740796,-0.27550633542617087
2019-01-23 10:52:11.737,1.069180564443458,0.7839314301532645,0.2852491342901935
2019-01-30 10:58:20.912,2.622095732896323,2.4915202890332835,0.13057544386303954
2019-02-15 10:58:18.998,9.87893501377275,9.295652345033172,0.583282668739578
2019-02-24 10:52:06.127,13.72092764929509,13.311487304601291,0.40944034469379886
2019-04-20 10:58:00.102,25.561048890874478,26.013733107474945,-0.452684216600467
2019-05-15 10:51:58.132,21.647631393066884,18.794731883031865,2.8528995100350194
2019-07-25 10:58:34.813,38.54344722747921,36.71901716741544,1.8244300600637757
2019-08-19 10:52:32.967,24.971734223739507,24.069558132183474,0.9021760915560328
2019-08-26 10:58:45.404,32.760212078315774,30.916176609402186,1.8440354689135887
2019-09-04 10:52:36.162,23.556707517280707,22.84197216110576,0.7147353561749483
2019-09-20 10:52:42.005,24.85747807441024,23.311140858756694,1.5463372156535442
2019-10-06 10:52:46.020,17.589379727145545,17.913945526476457,-0.32456579933091234
2019-10-22 10:52:47.557,15.619108154396416,14.90381611638219,0.7152920380142263
2019-11-07 10:52:46.283,9.920612947981237,9.66188365319238,0.2587292947888571
2019-11-30 10:58:53.777,4.991681714999433,4.969701680010218,0.02198003498921519
2019-12-09 10:52:42.339,8.223362370929673,8.444037563536325,-0.22067519260665236
2020-01-10 10:52:35.257,7.0453453770192755,6.9700741312305965,0.07527124578867905
2020-01-17 10:58:44.512,6.194627418833516,9.000337226205529,-2.805709807372013
2020-02-11 10:52:26.518,6.0950985249002505,6.804572393340148,-0.7094738684398978
2020-02-18 10:58:35.833,8.116279778583237,7.214491952599018,0.9017878259842194
2020-04-06 10:58:13.979,21.469627931660792,19.707033039768802,1.7625948918919896
2020-04-15 10:51:59.689,14.514067111110505,12.70735205189302,1.8067150592174848
2020-04-22 10:58:07.243,22.475729338019192,21.66957224217092,0.806157095848274
2020-05-24 10:58:01.425,25.680302756805034,24.537913439990966,1.142389316814068
2020-06-02 10:51:54.502,31.72844880695783,30.392436783684097,1.3360120232737316
2020-06-25 10:58:18.702,36.036255894869285,33.810725597111706,2.2255302977575795
2020-07-20 10:52:17.688,31.8678906283408,28.4953499550013,3.3725406733395005
2020-08-05 10:52:21.410,33.841293949053195,31.570445838145243,2.270848110907952
2020-08-12 10:58:33.497,39.27966319810914,21.915816360982664,17.363846837126477
2020-09-13 10:58:48.625,28.230681040900087,24.818907243018664,3.4117737978814233
2020-09-22 10:52:40.563,29.571692242042687,26.127418558705763,3.444273683336924
2021-02-20 10:58:37.471,6.899949172275484,6.1253213229908905,0.7746278492845935
2021-04-18 10:52:03.724,17.55961864254012,17.324718162726132,0.23490047981398732
2021-04-25 10:58:10.764,17.63234744245233,18.466643436150136,-0.8342959936978076
2021-05-27 10:58:16.875,22.91143870300978,20.11457191831577,2.796866784694007
2021-06-12 10:58:23.797,28.227810795728164,27.611331576665194,0.6164792190629704
2021-07-23 10:52:22.788,26.22502585122072,24.60846208181404,1.6165637694066817
2021-08-24 10:52:34.897,24.25344279601342,20.116179385190627,4.1372634108227935
2021-09-16 10:58:51.747,24.537165102284103,23.411129454885824,1.1260356473982789
2021-11-03 10:58:59.708,9.317915338272067,9.57171218989986,-0.25379685162779175
2021-11-07 10:57:50.975,3.4782868776870526,4.508804829771985,-1.0305179520849324
2021-11-28 10:52:45.281,2.1790327845116315,2.2695568101146706,-0.09052402560303907
2022-01-07 10:52:39.541,4.79220234848496,4.833097548071352,-0.04089519958639265
2022-01-14 10:58:48.559,3.220235360298542,3.033032024214897,0.1872033360836447
2022-01-30 10:58:51.010,7.0226458097164155,6.588347110456191,0.4342986992602249
2022-01-31 10:52:32.090,6.872245347489217,7.201203906891682,-0.3289585594024649
2022-02-07 10:58:41.950,7.674407174865325,7.65092473165469,0.02348244321063575
2022-02-16 10:52:27.635,12.845235607098719,12.387716947761746,0.4575186593369729
2022-02-24 10:52:29.252,8.991753467933352,8.493707659296833,0.4980458086365189
2022-03-19 10:58:34.636,16.12778830727173,16.03131069329237,0.09647761397935994
2022-03-20 10:52:16.219,14.11153211533496,14.347538089975856,-0.23600597464089645
2022-04-21 10:52:12.560,20.233305768741918,19.59773261920002,0.6355731495418979
2022-05-06 10:58:16.564,20.762497163491506,17.409481749847597,3.3530154136439094
2022-05-14 10:58:29.985,28.334573752371732,25.177816968667205,3.1567567837045267
2022-05-22 10:58:05.247,32.490104866724266,28.98027802730889,3.509826839415375
2022-06-15 10:58:45.022,30.990136665960645,29.26888659473226,1.7212500712283862
2022-06-16 10:52:01.832,17.04268802083885,17.106613381374732,-0.06392536053588316
2022-07-09 10:58:24.587,30.54347113538916,31.004303302655384,-0.4608321672662221
2022-07-10 10:52:37.833,37.451707763205356,35.45959129781914,1.9921164653862178
2022-07-17 10:58:49.072,31.16443273708042,30.141563638389577,1.022869098690844
2022-07-18 10:52:15.575,41.06383596840432,39.35907277256561,1.7047631958387086
2022-08-10 10:58:44.332,37.16638001704418,34.01311443087327,3.1532655861709102
2022-08-11 10:52:54.032,40.04642755114744,36.611373761452256,3.435053789695182
2022-08-18 10:59:06.487,29.58546667090351,27.213796113812556,2.3716705570909546
2022-08-26 10:58:48.583,29.37852202815133,27.533932124284608,1.8445899038667228
2022-09-28 10:53:02.434,16.32624129514816,15.557008646009706,0.7692326491384556
2022-10-06 10:52:44.184,13.96372555763179,14.628448040000023,-0.6647224823682336
2022-11-22 10:59:07.003,9.112934710719449,9.764125244315956,-0.6511905335965071
2022-11-23 10:52:51.334,10.627890016555533,10.507820856969573,0.12006915958595954
2022-12-08 10:59:07.265,0.8412562179009557,0.950656813198947,-0.10940059529799129
2023-01-09 10:58:57.775,6.180381970112438,6.8260080556981615,-0.6456260855857234
2023-01-18 10:52:40.597,1.3440463015992103,1.390019113592972,-0.045972811993761686
2023-02-19 10:52:35.055,8.543632178136598,7.8260054591235875,0.7176267190130101
2023-03-22 10:58:40.426,15.78242511142514,14.87625646421257,0.906168647212569
2023-04-07 10:58:30.789,16.892595175896773,15.809782329241076,1.0828128466556972
2023-05-10 10:51:43.570,20.51838013840087,16.65810757475944,3.8602725636414306
2023-05-25 10:58:03.048,23.749769651834935,25.167142383855936,-1.4173727320210006
2023-05-26 10:51:42.242,23.963279194864903,24.097712554022962,-0.13443335915805932
2023-06-02 10:57:53.353,23.14743949963403,20.408474434048628,2.7389650655854005
